council_district,highest_offense_desc,highest_offense,date,location,district,zip,x_coord,y_coord
6,BURG NON RESIDENCE SHEDS,Burglary,28-Jan-18,8225 N FM 620 RD,A,78726,3081085,10125283
6,THEFT,Theft,8-Feb-18,11200 LAKELINE MALL DR,A,78613,3092523,10143915
1,THEFT,Theft,19-Jan-18,2927 E 13TH ST,C,78702,3125804,10074210
7,BURGLARY OF VEHICLE,Theft,29-Jan-18,2618 W 49TH HALF ST,B,78731,3112106,10091393
1,BURGLARY OF RESIDENCE,Burglary,25-Jan-18,1124 SALINA ST,C,78702,3121216,10070890
3,DEADLY CONDUCT,Agg Assault,27-Jan-18,SPRINGDALE RD / AIRPORT BLVD,C,78721,3129259,10070211
6,BURGLARY NON RESIDENCE,Burglary,28-Jan-18,8600 N FM 620 RD,A,78726,3080743,10127146
3,THEFT OF LICENSE PLATE,Theft,18-Jan-18,1931 E OLTORF ST,H,78741,3117117,10057219
3,THEFT,Theft,20-Jan-18,2508 E RIVERSIDE DR,H,78741,3120958,10059176
4,THEFT,Theft,30-Jan-18,9725 N IH 35 SVRD NB,E,78753,3131748,10105245
4,THEFT BY SHOPLIFTING,Theft,1-Feb-18,900 RUTLAND DR,E,78758,3127578,10106801
9,BURGLARY OF VEHICLE,Theft,20-Jan-18,120 E 5TH ST,G,78701,3114593,10070320
7,BURGLARY OF VEHICLE,Theft,20-Jan-18,12138 N LAMAR BLVD,E,78758,3133053,10118644
2,BURGLARY OF VEHICLE,Theft,5-Feb-18,2101 E BEN WHITE BLVD EB,F,78744,3114755,10051812
10,BURGLARY OF VEHICLE,Theft,18-Jan-18,7409 SHADOW HILL DR,B,78731,3111457,10103218
3,THEFT BY SHOPLIFTING,Theft,22-Jan-18,6306 E RIVERSIDE DR,H,78741,3127258,10055404
